P17_001,P17_002,P17_003,P17_004,lon,lat
東京消防庁,"13101","1",千代田区大手町1-3-5,139.7615720000,35.6888750000
稲城市消防本部,"13225","1",稲城市東長沼2111,139.5050130000,35.6380430000
大島町消防本部,"13361","1",大島町元町字北の山270-2,139.3613460000,34.7797210000
三宅村消防本部,"13381","1",三宅村坪田1378,139.5573890000,34.0706230000
八丈町消防本部,"13401","1",八丈町大賀郷2928-2,139.7896500000,33.1148220000
丸の内消防署,"13101","2",千代田区大手町1-3-5,139.7615720000,35.6888750000
丸の内消防署有楽町出張所,"13101","3",千代田区有楽町1-9-2,139.7603500000,35.6755430000
麹町消防署,"13101","2",千代田区麹町1-12,139.7431850000,35.6850700000
麹町消防署永田町出張所,"13101","3",千代田区永田町1-8-4,139.7453818600,35.6790865800
麹町消防署九段出張所,"13101","3",千代田区九段南2-2-17,139.7479620000,35.6945960000
神田消防署,"13101","2",千代田区外神田4-14-3,139.7729820000,35.7013190000
神田消防署駿河台出張所,"13101","3",千代田区神田小川町3-8,139.7616550000,35.6958740000
神田消防署鍛治町出張所,"13101","3",千代田区鍛冶町2-3-2,139.7721270000,35.6914590000
京橋消防署,"13102","2",中央区京橋3-14-1,139.7722660000,35.6744880000
京橋消防署銀座出張所,"13102","3",中央区銀座7-11-17,139.7639610000,35.6686550000
京橋消防署築地出張所,"13102","3",中央区明石町1-27,139.7755440000,35.6685440000
日本橋消防署,"13102","2",中央区日本橋兜町14-12,139.7775430000,35.6800990000
日本橋消防署人形町出張所,"13102","3",中央区日本橋人形町2-27-8,139.7848770000,35.6876820000
日本橋消防署浜町出張所,"13102","3",中央区日本橋浜町3-45-12,139.7916830000,35.6853210000
日本橋消防署堀留出張所,"13102","3",中央区日本橋堀留町1-2-6,139.7785990000,35.6885150000
臨港消防署,"13102","2",中央区晴海5-1-27,139.7735540000,35.6518970000
臨港消防署月島出張所,"13102","3",中央区勝どき4-5-14,139.7766550000,35.6569900000
高輪消防署,"13103","2",港区白金2-4-12,139.7328540000,35.6410190000
高輪消防署港南出張所,"13103","3",港区港南5-8-34,139.7554360000,35.6332700000
高輪消防署三光出張所,"13103","3",港区白金5-12-11,139.7242430000,35.6452400000
高輪消防署二本榎出張所,"13103","3",港区高輪2-6-17,139.7331600000,35.6357140000
