P17_001,P17_002,P17_003,P17_004,lon,lat
城東消防署,"13108","2",江東区亀戸6-42-9,139.831816,35.696709
城東消防署砂町出張所,"13108","3",江東区北砂4-7-40,139.828511,35.677211
城東消防署大島出張所,"13108","3",江東区大島5-46-5,139.836954,35.689877
城東消防署東砂出張所,"13108","3",江東区東砂7-11-15,139.831762,35.696691
深川消防署,"13108","2",江東区木場3-18-10,139.806042,35.673045
深川消防署永代出張所,"13108","3",江東区永代2-12-3,139.791515,35.673739
深川消防署枝川出張所,"13108","3",江東区塩浜2-5-2,139.80414653,35.66077274
深川消防署森下出張所,"13108","3",江東区森下5-1-4,139.806598,35.684932
深川消防署豊洲出張所,"13108","3",江東区豊洲2-2-3,139.795126,35.655408
深川消防署有明分署,"13108","3",江東区有明3-4-2有明センタービル2階,139.78817734,35.63147378
東京消防庁第七消防方面本部,"13108","1",江東区森下5-1-4,139.80657923,35.68486462
