施設名,緯度,経度
男女共同参画推進センター,35.683983,139.820267
江東区産業会館,35.670525,139.818215
江東区文化センター,35.673086,139.818678
森下文化センター,35.685408,139.802078
古石場文化センター,35.667256,139.799022
豊洲文化センター,35.654581,139.795247
亀戸文化センター,35.697917,139.824505
東大島文化センター,35.690052,139.842408
砂町文化センター,35.680617,139.831936
江東公会堂,35.688755,139.819463
深川江戸資料館,35.681189,139.800595
芭蕉記念館,35.686127,139.794056
中川船番所資料館,35.687686,139.846282
スポーツ会館,35.684788,139.821396
深川スポーツセンター,35.670692,139.791745
亀戸スポーツセンター,35.700432,139.836565
有明スポーツセンター,35.6335,139.783824
東砂スポーツセンター,35.679506,139.839551
深川北スポーツセンター,35.677172,139.805179
夢の島競技場,35.648623,139.824323
夢の島野球場,35.65014,139.823453
夢の島スケートボードパーク,35.648602,139.8237
潮見野球場,35.655935,139.810145
亀戸野球場,35.701025,139.821286
新砂運動場,35.656774,139.834701
深川庭球場,35.672254,139.798897
豊住庭球場,35.674264,139.810897
東砂庭球場,35.683773,139.839693
荒川・砂町庭球場,35.680116,139.845007
豊洲シビックセンター,35.654317,139.795251
江東区環境学習情報館,35.655819,139.811642
江東図書館,35.671866,139.834271
深川図書館,35.679323,139.796691
東陽図書館,35.667359,139.816999
豊洲図書館,35.65437,139.795378
東雲図書館,35.643852,139.805301
古石場図書館,35.667,139.799022
城東図書館,35.689246,139.826947
亀戸図書館,35.697311,139.839344
砂町図書館,35.680561,139.832109
東大島図書館,35.691171,139.845851
こどもプラザ図書館,35.68761,139.81235
有明こども図書館,35.63328291,139.7837286
豊洲市場,35.64432244,139.7843134
東京都水の科学館,35.63104494,139.785494
東京都虹の下水道館,35.63362447,139.784297
水素情報館 東京スイソミル,35.65655787,139.8116257
東京都環境科学研究所,35.6684541,139.8243978
東京国際クルーズターミナル,35.61781937,139.7711776
東京夢の島マリーナ,35.65230292,139.8313715
辰巳の森海浜公園,35.64950717,139.8130789
有明客船ターミナル,35.62977688,139.7924881
東京都現代美術館,35.67992969,139.8081492
海の森水上競技場,35.60742825,139.8172589
有明テニスの森テニス施設,35.63557219,139.7872747
東京アクアティクスセンター,35.65158363,139.8150217
木場公園,35.67723138,139.8075978
